Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
Vans Aircraft Inc,6.0,1.0,0.0,8.0,15.0,9.0,12,0,3,0.0,25.0
Aero Vodochody,10.0,0.0,1.0,7.0,18.0,8.0,12,0,4,0.0,33.33333333333333
Beechcraft,7.0,2.0,0.0,14.0,23.0,16.0,12,0,2,0.0,16.666666666666664
Textron Aviation Inc,6.0,3.0,2.0,20.0,31.0,25.0,12,0,1,0.0,8.333333333333332
Alon,1.0,4.0,1.0,9.0,15.0,14.0,11,0,1,0.0,9.090909090909092
Weatherly,1.0,0.0,0.0,10.0,11.0,10.0,11,0,1,0.0,9.090909090909092
Curtiss Wright,3.0,6.0,0.0,15.0,24.0,21.0,11,0,2,0.0,18.181818181818183
Wsk Pzl Mielec,1.0,1.0,1.0,8.0,11.0,10.0,11,0,1,0.0,9.090909090909092
Temco,5.0,2.0,2.0,3.0,12.0,7.0,10,0,0,0.0,0.0
Tecnam,2.0,3.0,1.0,11.0,17.0,15.0,10,0,1,0.0,10.0
Gulfstream American Corp,7.0,0.0,2.0,7.0,16.0,9.0,10,0,3,0.0,30.0
Mooney Airplane Co Inc,1.0,1.0,2.0,8.0,12.0,11.0,10,0,0,0.0,0.0
Aerotek,3.0,0.0,1.0,10.0,14.0,11.0,10,0,1,0.0,10.0
Gulfstream-Schweizer A/C Corp,0.0,2.0,1.0,6.0,9.0,9.0,9,0,0,0.0,0.0
Jabiru Usa Sport Aircraft Llc,0.0,2.0,1.0,11.0,14.0,14.0,9,0,0,0.0,0.0
Raytheon,2.0,1.0,1.0,16.0,20.0,18.0,9,0,1,0.0,11.11111111111111
Weatherly Aviation Co Inc,1.0,2.0,1.0,5.0,9.0,8.0,9,0,0,0.0,0.0
Glasair,2.0,1.0,2.0,6.0,11.0,9.0,9,0,0,0.0,0.0
Extra,9.0,3.0,0.0,6.0,18.0,9.0,9,0,1,0.0,11.11111111111111
Extra Flugzeugbau Gmbh,4.0,2.0,1.0,5.0,12.0,8.0,9,0,2,0.0,22.22222222222222
Hawker Beechcraft,7.0,0.0,5.0,2.0,14.0,7.0,8,0,3,0.0,37.5
Pietenpol,2.0,1.0,1.0,6.0,10.0,8.0,8,0,0,0.0,0.0
Aviat Inc,3.0,0.0,2.0,9.0,14.0,11.0,8,0,1,0.0,12.5
Republic,3.0,1.0,5.0,1.0,10.0,7.0,8,0,0,0.0,0.0
Tl Ultralight Sro,5.0,0.0,1.0,7.0,13.0,8.0,8,0,1,0.0,12.5
Pipistrel,2.0,1.0,2.0,6.0,11.0,9.0,8,0,0,0.0,0.0
Jabiru,0.0,1.0,0.0,10.0,11.0,11.0,8,0,0,0.0,0.0
Lockheed,8.0,0.0,0.0,19.0,27.0,19.0,8,0,1,0.0,12.5
Avid,0.0,3.0,2.0,6.0,11.0,11.0,7,0,0,0.0,0.0
General Atomics,0.0,0.0,0.0,9.0,9.0,9.0,7,0,0,0.0,0.0
Just,3.0,2.0,0.0,4.0,9.0,6.0,7,0,1,0.0,14.285714285714285
Universal Stinson,1.0,2.0,0.0,11.0,14.0,13.0,7,0,0,0.0,0.0
Meyers,1.0,1.0,0.0,10.0,12.0,11.0,7,0,0,0.0,0.0
Waco Classic Aircraft,0.0,0.0,0.0,10.0,10.0,10.0,7,0,0,0.0,0.0
Pilatus Aircraft Ltd,19.0,2.0,0.0,9.0,30.0,11.0,7,0,3,0.0,42.857142857142854
Diamond Aircraft Industries,1.0,0.0,3.0,9.0,13.0,12.0,7,0,0,0.0,0.0
Rutan,2.0,3.0,1.0,3.0,9.0,7.0,7,0,0,0.0,0.0
Gates Learjet Corp.,2.0,2.0,0.0,21.0,25.0,23.0,7,0,0,0.0,0.0
Arion Aircraft Llc,3.0,1.0,0.0,6.0,10.0,7.0,7,0,1,0.0,14.285714285714285
Learjet Inc,0.0,6.0,0.0,34.0,40.0,40.0,7,0,0,0.0,0.0
American Legend,0.0,1.0,0.0,9.0,10.0,10.0,7,0,0,0.0,0.0
Lancair Company,3.0,4.0,0.0,6.0,13.0,10.0,7,0,1,0.0,14.285714285714285
Cubcrafters,2.0,0.0,0.0,9.0,11.0,9.0,7,0,0,0.0,0.0
Piaggio,0.0,0.0,0.0,20.0,20.0,20.0,7,0,0,0.0,0.0
Israel Aircraft Industries,6.0,0.0,0.0,12.0,18.0,12.0,6,0,3,0.0,50.0
Grumman-Schweizer,0.0,1.0,1.0,4.0,6.0,6.0,6,0,0,0.0,0.0
Fleet,0.0,0.0,0.0,10.0,10.0,10.0,6,0,0,0.0,0.0
Ryan Aeronautical,1.0,1.0,7.0,2.0,11.0,10.0,6,0,0,0.0,0.0
Liberty Aerospace Incorporated,2.0,0.0,1.0,5.0,8.0,6.0,6,0,1,0.0,16.666666666666664
Diamond Aircraft Ind Gmbh,0.0,1.0,0.0,7.0,8.0,8.0,6,0,0,0.0,0.0
Schweizer,0.0,0.0,0.0,6.0,6.0,6.0,6,0,0,0.0,0.0
Nanchang,5.0,4.0,0.0,2.0,11.0,6.0,6,0,1,0.0,16.666666666666664
Hawker,1.0,0.0,1.0,10.0,12.0,11.0,6,0,1,0.0,16.666666666666664
Gulfstream,4.0,3.0,2.0,35.0,44.0,40.0,6,2,0,33.33333333333333,0.0
Nanchang China,8.0,2.0,1.0,1.0,12.0,4.0,6,0,2,0.0,33.33333333333333
Remos Acft Gmbh Flugzeugbau,3.0,1.0,1.0,2.0,7.0,4.0,6,0,1,0.0,16.666666666666664
Evektor Aerotechnik,2.0,0.0,0.0,4.0,6.0,4.0,6,0,0,0.0,0.0
Sonex,2.0,2.0,0.0,3.0,7.0,5.0,6,0,0,0.0,0.0
Thorp,2.0,1.0,2.0,1.0,6.0,4.0,5,0,0,0.0,0.0
Unknown,1.0,0.0,2.0,2.0,5.0,4.0,5,0,1,0.0,20.0
Stearman Aircraft,0.0,1.0,0.0,8.0,9.0,9.0,5,0,0,0.0,0.0
Taylorcraft Aviation Corp,0.0,1.0,1.0,6.0,8.0,8.0,5,0,0,0.0,0.0
Stoddard Hamilton,0.0,1.0,1.0,5.0,7.0,7.0,5,0,0,0.0,0.0
Hawker Beechcraft Corporation,4.0,0.0,6.0,1.0,11.0,7.0,5,0,2,0.0,40.0
Scottish Aviation,0.0,2.0,0.0,7.0,9.0,9.0,5,0,0,0.0,0.0
Extra Flugzeugproduktions-Und,3.0,0.0,0.0,6.0,9.0,6.0,5,0,1,0.0,20.0
Czech Aircraft Works,1.0,1.0,2.0,2.0,6.0,5.0,5,0,0,0.0,0.0
New Piper Aircraft Inc,2.0,2.0,4.0,4.0,12.0,10.0,5,0,0,0.0,0.0
Eipper,3.0,2.0,1.0,2.0,8.0,5.0,5,0,0,0.0,0.0
Short Bros,0.0,0.0,0.0,9.0,9.0,9.0,5,0,0,0.0,0.0
Progressive Aerodyne Inc,0.0,2.0,3.0,4.0,9.0,9.0,5,0,0,0.0,0.0
Eagle,0.0,0.0,1.0,4.0,5.0,5.0,5,0,0,0.0,0.0
Fantasy Air Sro,0.0,0.0,2.0,4.0,6.0,6.0,5,0,0,0.0,0.0
Fisher,1.0,0.0,1.0,5.0,7.0,6.0,5,0,1,0.0,20.0
Britten-Norman,5.0,2.0,3.0,9.0,19.0,14.0,5,0,0,0.0,0.0
Classic Aircraft Corp,0.0,0.0,0.0,13.0,13.0,13.0,5,0,0,0.0,0.0
Consolidated Vultee,1.0,0.0,1.0,6.0,8.0,7.0,4,0,0,0.0,0.0
Czech Sport Aircraft A S,0.0,2.0,1.0,2.0,5.0,5.0,4,0,0,0.0,0.0
Gulfstream-Schweizer,0.0,2.0,0.0,2.0,4.0,4.0,4,0,0,0.0,0.0
Aircraft Mfg & Development Co,2.0,1.0,1.0,2.0,6.0,4.0,4,0,0,0.0,0.0
Air Creation,2.0,1.0,1.0,2.0,6.0,4.0,4,0,0,0.0,0.0
Gulfstream Aerospace,7.0,2.0,1.0,27.0,37.0,30.0,4,1,1,25.0,25.0
Icon,0.0,0.0,1.0,6.0,7.0,7.0,4,0,0,0.0,0.0
Gates Lear Jet,0.0,0.0,0.0,18.0,18.0,18.0,4,0,0,0.0,0.0
Challenger,1.0,1.0,0.0,2.0,4.0,3.0,4,0,0,0.0,0.0
Quest Aircraft Company Llc,3.0,1.0,0.0,5.0,9.0,6.0,4,0,1,0.0,25.0
Quest,0.0,1.0,1.0,5.0,7.0,7.0,4,0,0,0.0,0.0
Progressive Aerodyne,1.0,1.0,3.0,1.0,6.0,5.0,4,0,0,0.0,0.0
Zenair Ltd,4.0,1.0,0.0,2.0,7.0,3.0,4,0,2,0.0,50.0
Velocity,3.0,1.0,2.0,0.0,6.0,3.0,4,0,1,0.0,25.0
American Champion,0.0,2.0,0.0,5.0,7.0,7.0,4,0,0,0.0,0.0
Convair,7.0,0.0,0.0,2.0,9.0,2.0,4,0,3,0.0,75.0
Aero Sp Z O O,1.0,1.0,0.0,3.0,5.0,4.0,4,0,0,0.0,0.0
Snow,2.0,0.0,0.0,2.0,4.0,2.0,4,0,0,0.0,0.0
Pzl Mielec,2.0,1.0,0.0,1.0,4.0,2.0,4,0,1,0.0,25.0
Aerovodochody,3.0,2.0,0.0,1.0,6.0,3.0,4,0,1,0.0,25.0
Cessna Ector,0.0,1.0,0.0,5.0,6.0,6.0,4,0,0,0.0,0.0
Piper/Cub Crafters,0.0,4.0,0.0,2.0,6.0,6.0,4,0,0,0.0,0.0
Flightstar,0.0,2.0,1.0,2.0,5.0,5.0,4,0,0,0.0,0.0
Ercoupe (Eng & Research Corp.),0.0,1.0,0.0,5.0,6.0,6.0,4,0,0,0.0,0.0
Jones,0.0,1.0,0.0,5.0,6.0,6.0,4,0,0,0.0,0.0
Denney,0.0,1.0,0.0,4.0,5.0,5.0,4,0,0,0.0,0.0
Fpna Llc,0.0,1.0,1.0,3.0,5.0,5.0,3,0,0,0.0,0.0
Dassault-Breguet,0.0,0.0,0.0,23.0,23.0,23.0,3,1,0,33.33333333333333,0.0
Nelson,3.0,0.0,0.0,1.0,4.0,1.0,3,0,0,0.0,0.0
Just Aircraft Llc,0.0,0.0,1.0,3.0,4.0,4.0,3,0,0,0.0,0.0
Morrison,1.0,0.0,0.0,3.0,4.0,3.0,3,0,1,0.0,33.33333333333333
Muse,2.0,1.0,0.0,0.0,3.0,1.0,3,0,1,0.0,33.33333333333333
Morrisey,3.0,0.0,0.0,1.0,4.0,1.0,3,0,1,0.0,33.33333333333333
Eclipse Aviation Corp,0.0,3.0,0.0,6.0,9.0,9.0,3,0,0,0.0,0.0
Clark,2.0,1.0,0.0,0.0,3.0,1.0,3,0,0,0.0,0.0
Travel Air,0.0,0.0,1.0,2.0,3.0,3.0,3,0,0,0.0,0.0
Miller,1.0,1.0,1.0,0.0,3.0,2.0,3,0,1,0.0,33.33333333333333
Downer,0.0,1.0,0.0,6.0,7.0,7.0,3,0,0,0.0,0.0
Johnson,2.0,1.0,1.0,0.0,4.0,2.0,3,0,1,0.0,33.33333333333333
North American/Aero Classics,5.0,0.0,0.0,0.0,5.0,0.0,3,0,1,0.0,33.33333333333333
Short Bros. & Harland,2.0,0.0,0.0,2.0,4.0,2.0,3,0,0,0.0,0.0
Smith Miniplane,0.0,1.0,0.0,2.0,3.0,3.0,3,0,0,0.0,0.0
Ultralight America,2.0,1.0,0.0,1.0,4.0,2.0,3,0,1,0.0,33.33333333333333
Howard,0.0,0.0,0.0,4.0,4.0,4.0,3,0,0,0.0,0.0
Flightstar Inc,0.0,1.0,2.0,2.0,5.0,5.0,3,0,0,0.0,0.0
