Make,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Favorable,Percent Unfavorable
Pohoski,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Poe G L/Poe S Y,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Plocher,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Plante,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pitts Special,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Pittman Eddie G,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pitcairn,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Palmer,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Nelson Miles,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Palen,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcdaniel James D,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcdonald Lynn B,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcfarland Bill,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mcfarland Wm H,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mcglashan,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcglaughlin Richard,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcgrath Robert F,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mchenry George B Jr,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mcholland,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mchugh Tony,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mcintosh Donald W,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mckay Gene,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mckeehan James F,1.0,0.0,0.0,1.0,2.0,1.0,1,0,0,0.0,0.0
Mckenna,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mckenna Glen R,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mckenna James E,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mckenzie,3.0,0.0,0.0,0.0,3.0,0.0,1,0,0,0.0,0.0
Mckenzie John P,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcdonald Howard Brian,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mcdaniel,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Max A Boesiger Jr,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mccurry Charles P,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Maxcy Christopher L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Maxfly Inc/Mckay Wm,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Maxson Phil,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mayo,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Mays,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mazurek Keith P,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
Mcadam W E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcarthur,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mccauley Gene E,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mccleery,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mcclure B J,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mccluskey,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mccorkle Robert B,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mccrary Bobby C Jr,0.0,0.0,1.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Mcculley Ronald,0.0,0.0,1.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Mcculloch Jerry,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mccurdy,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mckinney Charles R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mcleod Alan,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mcmichael Elmer L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcmillan Joel L,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Meyer Geoffrey A,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Meyer Robert,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Meyeres F L/Meyeres M M,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Micco Aircraft Company,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Michael A. Watson,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
Michael Adamczyk,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Michael Cans,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Michael Dean Grissom,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Michael J Robbins,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Michael J. Kohout,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Michael Muratore,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Michael S. Logan,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Michael Wilson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Michaelian,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Michel Paul John,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mickler Larry J,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Microlites Ptyltd,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Meyer Fred J,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Meyer Clair O,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Metcalfe Robert B,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Melborn Joe B,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mcmurray David C,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mcnulty John S,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mcpherson John G,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mcswain,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mds Fying Llc,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mead,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Medway,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Melvin K Callen,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Meschler Gary R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Menzimer Gary Ray,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mercer,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Merian Richard F,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Merit Aviation Llc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Merrell Stephen,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Merritt Leslie R,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Merwin,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Maxair Drifter,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Maurer Elmo A,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Migas,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Lundak Robert,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Luters Arnis V,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Luttenbacher Kurt,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Luy Wayman,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Lydon Patrick F,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Lyman Randall/Scott David,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Lyons,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Maarten H Versteeg,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Macadams,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Macdonald Craig,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mace Justin I,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Macleod,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Madera,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Maggs,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Magnus Aircraft Llc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Maher Daniel J,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mahon Paul D,0.0,0.0,1.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Mahre,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Luscombe Silvaire Aircraft Co.,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Lueck,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mauck,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Ludwig Larry E,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Lite Flight,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Liteflite Pty Ltd,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
"Llewellyn, Warwinc W",0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Lobb Kenneth,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Lockwood Aircraft Corp,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Loehle Aircraft Corp,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Loehr Thomas H,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Loflin,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Logan Jerry L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Loofbourrow John W,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Lopez Phillip,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Lorah Elden A,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Lorentzen,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Lorenz Stephen,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Lowerre Bruce T,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Lsa America Inc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Lucas D E/ Lucas K A,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Makela,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Malinowski Walter S,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Malkin Roy K,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mallory Christopher L,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Marsh Aviation,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Marshall,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Marshall James J,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Martin Curtis,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Martin Edward H,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Marvin A. Smith,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Marvin Faulk,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mary Alexander,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
Mas Events,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mason Hal J,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mason Robert,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mateskon,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Matheny Larry E,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mathias Linda B,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mathieu,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mathis Melvin R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Matthews H Thomas,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Marrin,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Marrero Andres,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Marlowe Thooft,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mark C Pauls,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Malone Henry O,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Maniscalco,1.0,0.0,1.0,0.0,2.0,1.0,1,0,1,0.0,100.0
Mantooth,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Manweiller,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Manzitto Michael A,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Marconi Fred I Jr,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Marino,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mark Coby,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Marlow,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mark Divita,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mark Goldberg,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Marks Ca Iii,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Marks Steven,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Marley,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Marlin,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Marlman,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mid-South Custom Craft Inc,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mike Reed,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pahnke Vernon A,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Newmann Edward W,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
"Nichols Rans, Inc.",1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Nicholson,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Nicholson David F,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Nickel,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Nielsen Martin M,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Niva,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Nokes Matthew,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Nolan,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Noles Vance L,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Nolin,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Noorduyn,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Nord (Sncan),0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Nordquist Richard A,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Norman,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
North American Rockwell Corp.,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
North American-Medore,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
North American/Schwamm,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Nichols,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Newkirk Thomas Ray,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Nbb Inc,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
"Newgent, Barry",2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Needham,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Neefjes,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Neland Richard L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Nelsen Lynn H,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Nelson Dan H,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Nelson Larry L,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Refling,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Nelson Steven Paul,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Nelson Sydney,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Nelson Sydney/Nelson Diann,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Nephew Alan H,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
New Glasair,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
New Kolb Aircraft Co,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
New Kolb Aircraft Co Llc,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
New Piper,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
New Standard,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Newcomer,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
North American/Victoria Mnt Lt,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
North Wing Uum Inc,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Northland Aviation Llc,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Northwing,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Orlican,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Orlican S R O,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Ortiz G/Saint J,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Osborne,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Osprey,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Ostertag Walter G,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Ott,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Otterback,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Otterback Nicholas J,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Ouzts Rodney,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Owen,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Owens,0.0,0.0,0.0,3.0,3.0,3.0,1,0,0,0.0,0.0
P Z L -Warszawa-Cnpsl,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
P&M Aviation,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Pacific Aerospace Ltd,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Page Joseph E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Page Russell L,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Omf,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Olson Perry D,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Olson Kenneth H T,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Offchiss Edward R,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Norton Claude C,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Ntbk,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Nunley,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Nuse George,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
O'Dell,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0.0,100.0
Oconnor Paul A,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Oden Weldon Pat,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Ogg Richard A,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Olson,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Ohlgren,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Ohlgren Brent E,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Oliver,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Oliver A Bruce,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Oliver Joseph,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Oliver Lawrence R,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Olmsted Charles A,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Nebert,2.0,0.0,1.0,0.0,3.0,1.0,1,0,0,0.0,0.0
Nasa Ames Research Center,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0
Mileski,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mitchell Derryle V,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mobi-Light,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Moe-Pietenpol,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Moffitt Oscar/ Kit Prostar A/C,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Monnett John T Jr,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Monocoupe,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Monroe Dennis,2.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0
Monroig Pedro J,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Montana,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Monte Clark,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Moody-Siple,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
"Mooney Airplane Company, Inc.",0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mooney International Corp,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Moore Edward R,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Moore Glenn,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Moore Joseph O,2.0,0.0,0.0,0.0,2.0,0.0,1,0,1,0.0,100.0
Moore Thomas O,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Morane-Saulnier,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Mkii Corporation,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mitchell David N,1.0,0.0,1.0,0.0,2.0,1.0,1,0,0,0.0,0.0
Nappi Tito C,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Mischke,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Milholland,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Miller Charles W,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Miller Gregory S,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
Miller Gregory Scott,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Miller J Kirtley,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Miller Raymond A,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Miller Roger,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Miller Steven M,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Miller-Thorp,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Miller/Culpepper,0.0,1.0,1.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Millhouse D Scott,0.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Mills,0.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0.0,0.0
Mills Michael,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0
Millsap Dennis,0.0,0.0,2.0,0.0,2.0,2.0,1,0,0,0.0,0.0
Miltenberger,0.0,1.0,0.0,1.0,2.0,2.0,1,0,0,0.0,0.0
Mini Max,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0.0,0.0
Mini-Max,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0.0,0.0
